C001 	B100 	P025 	1 	10
C002 	B100 	P050 	1 	20
C001 	B200 	P050 	1 	10
C002 	B100 	P025 	1 	10
C002 	B200 	P025 	1 	5
C001 	B100 	P075 	2 	10
C003 	B300 	P050 	2 	20
C001 	B200 	P075 	2 	10
C002 	B100 	P025 	2 	30
C001 	B300 	P050 	2 	10
C003 	B200 	P025 	2 	20
C001 	B100 	P050 	2 	10
C001 	B100 	P075 	2 	5
C001 	B100 	P025 	3 	10
C001 	B100 	P050 	3 	10
C001 	B200 	P075 	3 	20
C002 	B300 	P075 	3 	10
C002 	B100 	P025 	3 	20
C003 	B200 	P050 	3 	10
C003 	B200 	P075 	3 	20
C002 	B100 	P025 	3 	10
C003 	B300 	P050 	3 	10
C003 	B200 	P050 	3 	15
